metric,ucdpa_id,baseline_id,n_paired,ucdpa_mean,baseline_mean,mean_delta,ci_low_2.5,ci_high_97.5,t_statistic,t_pvalue,wilcoxon_statistic,wilcoxon_pvalue,resamples,seed
top1_accuracy,ucdpa,come,285,69.1973754385965,66.12572631578946,3.0716491228070177,2.762289649122808,3.421490701754386,18.256146645956576,8.50141327572775e-50,0.0,1.7298693900859543e-48,10000,0
top1_accuracy,ucdpa,tentcome,285,69.1973754385965,63.22284912280703,5.974526315789474,5.505966491228071,6.492345614035088,23.545783138333203,1.0110543655682626e-68,0.0,1.729941349938755e-48,10000,0
top1_accuracy,ucdpa,tent,285,69.1973754385965,63.03358596491227,6.163789473684211,5.677101052631579,6.681121228070175,24.025675191830366,2.2136283725704033e-70,0.0,1.7298334112612756e-48,10000,0
top1_accuracy,ucdpa,eata,285,69.1973754385965,62.84296140350877,6.3544140350877205,5.929544035087719,6.8124896491228055,28.643073847047248,9.654837852533927e-86,0.0,1.730061289555392e-48,10000,0
top1_accuracy,ucdpa,sar,285,69.1973754385965,61.90468070175438,7.292694736842106,6.856572280701753,7.727453157894738,32.98867046062465,3.805684345360104e-99,0.0,1.7300732839659024e-48,10000,0
top1_accuracy,ucdpa,source,285,69.1973754385965,57.26395789473684,11.93341754385965,11.231604035087718,12.650897719298246,32.22407712563936,7.32955385542671e-97,0.0,1.7298454041211672e-48,10000,0
ece_15bins_percent,ucdpa,come,285,3.484528273049793,7.219808958194874,-3.7352806851450806,-4.241650254793122,-3.2438909730792806,-14.7716893532138,5.015572204848165e-37,4234.0,4.494284882669374e-31,10000,0
ece_15bins_percent,ucdpa,tentcome,285,3.484528273049793,7.739584135082834,-4.255055862033043,-4.977903704952815,-3.6127764390520474,-12.168870263047783,1.0603722928294641e-27,294.0,3.769982704549958e-47,10000,0
ece_15bins_percent,ucdpa,tent,285,3.484528273049793,7.928189009389443,-4.44366073633965,-5.18715115574149,-3.806029327152964,-12.594860846068375,3.3758257549359095e-29,294.0,3.769982704549958e-47,10000,0
ece_15bins_percent,ucdpa,eata,285,3.484528273049793,7.4146294999142635,-3.930101226864471,-4.490590494616677,-3.4452960935993318,-14.808930384675067,3.669307326838145e-37,342.0,6.208678077354517e-47,10000,0
ece_15bins_percent,ucdpa,sar,285,3.484528273049793,7.204879422041214,-3.7203511489914187,-4.09941213301204,-3.3588759085068105,-19.63153677162178,8.274898994294624e-55,344.0,6.338923172289517e-47,10000,0
ece_15bins_percent,ucdpa,source,285,3.484528273049793,4.8193533349599,-1.3348250619101076,-1.7736207206822991,-0.8990610092361135,-5.969031968411121,7.1012710299037626e-09,17086.0,0.018097810325448976,10000,0
mce_15bins_percent,ucdpa,come,285,7.532535266315465,12.211364405747698,-4.678829139432231,-5.5450152489000555,-3.899235058062295,-10.980957108315478,1.2900807416763376e-23,4589.0,8.540854739937059e-30,10000,0
mce_15bins_percent,ucdpa,tentcome,285,7.532535266315465,14.05814057535896,-6.525605309043494,-7.707832089881946,-5.464061685464696,-11.231306739279072,1.8284572284972116e-24,1282.0,8.559138896338717e-43,10000,0
mce_15bins_percent,ucdpa,tent,285,7.532535266315465,14.27968113555533,-6.747145869239865,-8.00874675233959,-5.674534622121732,-11.521004836869729,1.8683076841442684e-25,1295.0,9.734131488792094e-43,10000,0
mce_15bins_percent,ucdpa,eata,285,7.532535266315465,13.787802854306356,-6.2552675879908906,-7.238338943240157,-5.400009591935143,-13.264847569937869,1.4015353412989696e-31,1089.0,1.2548416952400188e-43,10000,0
mce_15bins_percent,ucdpa,sar,285,7.532535266315465,13.236820421508607,-5.7042851551931415,-6.3379636541941435,-5.104127277302578,-18.022298555083214,6.102182610972331e-49,1490.0,6.634162966170503e-42,10000,0
mce_15bins_percent,ucdpa,source,285,7.532535266315465,8.520427849636667,-0.9878925833212016,-1.688877340095696,-0.31543161950893067,-2.8399573572119516,0.004838057377628892,18489.0,0.17506000857829263,10000,0
mean_predictive_entropy,ucdpa,come,285,1.5607799481211564,2.465576051740603,-0.9047961036194461,-0.9175139085364314,-0.8918889377791621,-139.22500895096073,2.1703771253171396e-263,0.0,1.7301812373332855e-48,10000,0
mean_predictive_entropy,ucdpa,tentcome,285,1.5607799481211564,1.467296038931764,0.09348390918939257,0.07808719498762055,0.11068928750582023,11.160786765410538,3.1756621174691403e-24,2229.0,8.009818728871757e-39,10000,0
