method,method_display,config_id,seed,corruption,severity,batch_size,max_batches,trainable_parameters,runtime_seconds,peak_gpu_memory_mb,optimizer_steps,lr,optimizer,num_samples,num_correct,num_wrong,error_rate,top1_accuracy,accuracy,ece_15bins_percent,mce_15bins_percent,mean_confidence,mean_predictive_entropy,mean_entropy,mean_uncertainty,mean_mutual_info,mean_ucb_score,mean_come_loss,correct_confidence,wrong_confidence,confidence_separation,correct_uncertainty,wrong_uncertainty,uncertainty_separation,correct_mutual_info,wrong_mutual_info,mutual_info_separation,correct_ucb_score,wrong_ucb_score,ucb_separation,hce_rate@0.8,hce_risk@0.8,hce_rate@0.9,hce_risk@0.9,hce_rate@0.95,hce_risk@0.95,aurc,e_aurc,selective_risk@0.80,selective_risk@0.90,selective_risk@0.95,aurc_uncertainty,aurc_ucb_score,auroc_neg_max_confidence,auroc_entropy,auroc_neg_margin,auroc_uncertainty,auroc_neg_mutual_info,auroc_neg_ucb_score,auroc_combined,auroc_error_combined,cfg_lr,cfg_optimizer,cfg_weight_decay,cfg_come_p_norm,cfg_come_tau,cfg_come_evidence_mode,cfg_lambda_come,cfg_eps,cfg_tau_c,cfg_tau_u,cfg_T_c,cfg_T_u,cfg_lambda_cal,cfg_lambda_fpa,cfg_class_balance_ema,cfg_prototype_momentum,cfg_prototype_temperature,cfg_eata_eps_scale,cfg_eata_fisher_lambda,cfg_eata_alpha_f,cfg_eata_alpha_w,cfg_sar_eps_scale,cfg_sar_rho,cfg_disable_ucb,cfg_disable_class_balance,cfg_disable_scale_norm,cfg_class_balance_count_floor,cfg_class_balance_w_clip_min,cfg_class_balance_w_clip_max
come,COME,come,0,brightness,1,128,-1,38400,273.38,9995.9,391,0.0001,adam,50000,39877,10123,0.20246,79.754,79.754,10.140271645237693,14.329099919322474,0.696137283547623,1.9736886839979328,1.9736886839979328,0.1446238036580366,1.205120708005519,0.0,1.2037037211405206,0.7531476302512085,0.4715594315769745,0.2815881986742339,0.135803479302985,0.1793692421946751,0.0435657628916901,1.1430061231929296,1.449805415954905,-0.3067992927619754,0.0,0.0,0.0,0.0152,0.034916842782321,0.00202,0.021321511505172,0.00028,0.0304347826086956,0.0631299013999384,0.0410920231822954,0.107,0.1484888888888889,0.1730105263157894,0.1290257325654907,0.186439276736899,0.8524114843898717,0.8090840883677399,0.8542404042782242,0.6746517743979163,0.329572461794383,0.5,0.8547734570279952,0.8547734570279952,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,brightness,2,128,-1,38400,270.39,9996.5,391,0.0001,adam,50000,39362,10638,0.21276,78.724,78.724,10.167708420983052,14.272089455725489,0.6855629157901695,2.0348180995966656,2.0348180995966656,0.1489283456042094,1.2356648765944154,0.0,1.240395713283082,0.7461888966662168,0.4612388079463103,0.2849500887199064,0.139030546443756,0.1855515050847288,0.0465209586409728,1.1662041121894795,1.4926788461852305,-0.3264747339957508,0.0,0.0,0.0,0.01432,0.0346865613797112,0.00192,0.0218728639781271,0.00026,0.0260521042084168,0.0672699554025372,0.0428351783533744,0.11485,0.1583111111111111,0.1835578947368421,0.1338221525091892,0.1969929707834353,0.8526707054794129,0.8102743888159595,0.853812334035633,0.6785057574976257,0.3258270110939154,0.5,0.8549198179185113,0.8549198179185113,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,brightness,3,128,-1,38400,278.19,10073.0,391,0.0001,adam,50000,38407,11593,0.23186,76.81400000000001,76.81400000000001,9.586969265463296,13.783373838671633,0.6722703073453671,2.0971450137332317,2.0971450137332317,0.1512796196486218,1.2503472836042824,0.0,1.2918984692344255,0.7395126930967382,0.4494998157079212,0.290012877388817,0.1399395912168667,0.1888485381320531,0.0489089469151864,1.1710759340817665,1.5129691003136132,-0.3418931662318467,0.0,0.0,0.0,0.01422,0.0363255505032442,0.00204,0.0236275191104934,0.00028,0.0206185567010309,0.0751777353437427,0.0459402169613872,0.131425,0.1775333333333333,0.2025894736842105,0.147289458160072,0.2202133230561793,0.8525530323364874,0.8108330280326806,0.8530526445215783,0.6812045872835828,0.323374854004982,0.5,0.8549551094902587,0.8549551094902587,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,brightness,4,128,-1,38400,266.66,10073.3,391,0.0001,adam,50000,36695,13305,0.2661,73.39,73.39,8.328479310533961,13.25862253001937,0.6506152068946603,2.197121882742241,2.197121882742241,0.1548595266519917,1.2720718781010312,0.0,1.3757334200202889,0.7299053590571134,0.4319340995214011,0.2979712595357122,0.1406789441584806,0.1939693706654747,0.0532904265069941,1.1735728020705891,1.5437309231921297,-0.3701581211215403,0.0,0.0,0.0,0.01506,0.0418263622729545,0.00268,0.0314480168974419,0.00048,0.0262008733624454,0.0919277719195193,0.0528835882520183,0.1623,0.2091333333333333,0.2361052631578947,0.1732679855990095,0.2601976600835964,0.8506950481382147,0.8109064672225454,0.8497113468587023,0.6842085917108534,0.3207021242527617,0.5,0.8535793848752417,0.8535793848752417,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,brightness,5,128,-1,38400,271.25,10073.3,391,0.0001,adam,50000,34864,15136,0.30272,69.728,69.728,7.628685076463036,12.976851642455433,0.621215727596404,2.3511856779876097,2.3511856779876097,0.1632172252787217,1.329295992942498,0.0,1.4854536014450934,0.7118319492361478,0.4124918936080303,0.2993400556281175,0.1463533773334322,0.2020611202816666,0.0557077429482344,1.2132514724109489,1.596590929769396,-0.3833394573584474,0.0,0.0,0.0,0.01552,0.0490239433950344,0.0027,0.0368148350149986,0.00068,0.0369967355821545,0.1133581994697669,0.0620552129498299,0.199775,0.248,0.2738315789473684,0.2019413199354357,0.3106260629882828,0.8438580449829455,0.8068307997469721,0.8411691261732694,0.6824265134177067,0.3228442513591926,0.5,0.8470640771567708,0.8470640771567708,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,contrast,1,128,-1,38400,271.16,10073.3,391,0.0001,adam,50000,40548,9452,0.18904,81.096,81.096,13.288302642081398,17.287505839638705,0.6780769735791861,2.1754523667880146,2.1754523667880146,0.1699538969620235,1.3959541242609173,0.0,1.246852477195561,0.7293188243273296,0.4582552888420161,0.2710635354853135,0.1617198641402281,0.2052769569343214,0.0435570927940932,1.3393583586518505,1.6387434920049349,-0.2993851333530846,0.0,0.0,0.0,0.01008,0.028564951258218,0.00078,0.0303501945525291,6e-05,0.0535714285714285,0.0584049604106828,0.0392907193021487,0.09645,0.1364,0.1598736842105263,0.1209894656644918,0.1762706321557922,0.8525778418923549,0.8087897977146024,0.8550580596400619,0.6698825383402695,0.3347182937284384,0.5,0.8549551907487816,0.8549551907487816,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,contrast,2,128,-1,38400,273.57,10073.3,391,0.0001,adam,50000,40130,9870,0.1974,80.25999999999999,80.25999999999999,13.393066218309103,17.08023563188351,0.668669337816909,2.2300068606096506,2.2300068606096506,0.173615510647716,1.421831036759764,0.0,1.281917737661302,0.7227312811858044,0.4488612539877524,0.273870027198052,0.1647202021430866,0.2097825552567107,0.0450623531136241,1.3609762002934682,1.6692580466272862,-0.3082818463338179,0.0,0.0,0.0,0.00902,0.0272293666606291,0.00052,0.0246679316888045,4e-05,0.0454545454545454,0.0613301538785097,0.0404209477329545,0.102625,0.1438444444444444,0.1678947368421052,0.1255111778866373,0.185595457249571,0.8531915827764427,0.8107404342674555,0.854925934734403,0.6740915908808025,0.3306169260945493,0.5,0.855586565041528,0.855586565041528,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,contrast,3,128,-1,38400,270.38,10073.3,391,0.0001,adam,50000,39276,10724,0.21448,78.55199999999999,78.55199999999999,13.570705702243844,17.688038029363863,0.6498129429775616,2.3430723042875528,2.3430723042875528,0.1825111788458563,1.48416779938519,0.0,1.3430872795969249,0.7095542372378197,0.4310140737714911,0.2785401634663286,0.1718411450465646,0.2215895309067459,0.0497483858601812,1.411766304954627,1.749333884358595,-0.3375675794039681,0.0,0.0,0.0,0.00884,0.03030095290327,0.00044,0.0244988864142538,4e-05,0.0689655172413793,0.068222955071085,0.0433748356334133,0.116575,0.1598666666666666,0.1844842105263157,0.135690118653795,0.2048388708675653,0.8524380348557301,0.8094176439413131,0.8537062347512733,0.6772035624455763,0.3275307211972738,0.5,0.854801817788203,0.854801817788203,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,contrast,4,128,-1,38400,283.14,10073.0,391,0.0001,adam,50000,36778,13222,0.26444,73.556,73.556,13.987245977799406,18.97538175483185,0.5956875402220059,2.6702298372733595,2.6702298372733595,0.2089081310864537,1.665135735797882,0.0,1.5135270479002596,0.6717973460590925,0.3839823186914985,0.2878150273675939,0.1923854944507728,0.254867103268202,0.0624816088174292,1.5553430571120588,1.97053243347654,-0.4151893763644809,0.0,0.0,0.0,0.0067,0.0330244479495268,0.00028,0.0204678362573099,2e-05,0.0454545454545454,0.0918852015924022,0.0533527169203347,0.16045,0.2074666666666666,0.2337473684210526,0.1709558446449948,0.2633706684682676,0.8479164097323972,0.8025561240068751,0.8479640830095473,0.6790849180411178,0.3260981506745608,0.5,0.8505293371713188,0.8505293371713188,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,contrast,5,128,-1,38400,266.63,10073.3,391,0.0001,adam,50000,31081,18919,0.37838,62.16199999999999,62.16199999999999,12.275653800285426,18.843019996215805,0.4988634619971457,3.246055521490574,3.246055521490574,0.2556185934244655,1.9765418486693505,0.0,1.810477854487896,0.6121400323644925,0.3127675222758336,0.2993725100886589,0.2229985345332929,0.3092083207037369,0.0862097861704439,1.765146444669017,2.3238319037322155,-0.5586854590631984,0.0,0.0,0.0,0.00544,0.0478788945608167,0.00022,0.0290237467018469,0.0,0.0,0.1576894996081525,0.0748439995796837,0.271225,0.3227777777777778,0.349978947368421,0.2492667672161261,0.3973119515905871,0.8435690573520058,0.8054044828797474,0.8397849053595476,0.6959809113354454,0.3101603281849048,0.5,0.8460242952128145,0.8460242952128145,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,defocus_blur,1,128,-1,38400,272.03,10073.3,391,0.0001,adam,50000,37218,12782,0.25564,74.436,74.436,8.710603163646997,13.163362383805763,0.65725396836353,2.159708739513103,2.159708739513103,0.149975876371836,1.237885056479664,0.0,1.372548721643898,0.7334515358817283,0.4353856325872582,0.29806590329447,0.1373453298230561,0.1867528816489828,0.0494075518259266,1.150053129064878,1.4936297501522906,-0.3435766210874127,0.0,0.0,0.0,0.01486,0.0394269036879808,0.00164,0.0188419117647058,0.00018,0.0236842105263157,0.0848838997169678,0.0490016674090214,0.1525,0.1984666666666666,0.2260842105263157,0.160088001972129,0.2515451390773629,0.8524968893708078,0.8153073602406804,0.8520305293733036,0.6861015301346836,0.3191464655391457,0.5,0.8551269758672319,0.8551269758672319,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,defocus_blur,2,128,-1,38400,271.27,10073.3,391,0.0001,adam,50000,35575,14425,0.2885,71.15,71.15,8.02607464989787,12.058922401756869,0.6312392535010213,2.2998291475167965,2.2998291475167965,0.1569839548863748,1.2864415941482663,0.0,1.478277926260652,0.7186041997597198,0.4157794293656177,0.3028247703941021,0.1418651006277321,0.1942701413855925,0.0524050407578603,1.1820807236718742,1.543816843174101,-0.3617361195022268,0.0,0.0,0.0,0.01454,0.0429288455860643,0.0017,0.0231103860793909,0.00024,0.04,0.1021790827313642,0.0558593541546259,0.182475,0.2328888888888889,0.2593263157894737,0.178856813166935,0.2861191023867464,0.8501209498325967,0.8176762720885282,0.8478510014359294,0.6950764618406935,0.3106788660176769,0.5,0.8527618128030342,0.8527618128030342,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,defocus_blur,3,128,-1,38400,273.97,10073.3,391,0.0001,adam,50000,31991,18009,0.36018,63.982000000000006,63.982000000000006,6.256046211788896,11.441942176899332,0.577259537882111,2.595156407376416,2.595156407376416,0.1724445851255033,1.3934644297771157,0.0,1.6955888383808733,0.6879889729582485,0.3805609228829044,0.3074280500753441,0.1516963719251457,0.2093014949201971,0.0576051229950514,1.252480036487981,1.6439076373795758,-0.3914276008915949,0.0,0.0,0.0,0.01402,0.0531745429720094,0.0015,0.0321612349914236,6e-05,0.0198675496688741,0.1439926340463153,0.0695360227351572,0.25475,0.3055777777777778,0.3324631578947368,0.2249932762464265,0.3655835709798452,0.8451135132838903,0.8201023325249839,0.8389142443702484,0.7080975218197048,0.2983693925771806,0.5,0.8478523138619631,0.8478523138619631,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,defocus_blur,4,128,-1,38400,270.28,10073.3,391,0.0001,adam,50000,28208,21792,0.43584,56.416,56.416,4.258918029664085,9.458126488384922,0.5215869475996681,2.90324370387584,2.90324370387584,0.1891521345116756,1.5071391323895753,0.0,1.9177846024847776,0.6550570123143068,0.348820630351571,0.3062363819627357,0.1621582246596505,0.2240935905095614,0.0619353658499109,1.3259696656860775,1.7416485081592277,-0.4156788424731501,0.0,0.0,0.0,0.01232,0.0617234468937875,0.00112,0.0384615384615384,8e-05,0.0425531914893617,0.1978041009550827,0.0848990899276106,0.3358,0.3857777777777778,0.4103157894736842,0.2802596635011095,0.4504936850622861,0.8368996418492415,0.8160389272554605,0.828667575663021,0.7167485024972868,0.289853002024035,0.5,0.8393850067229238,0.8393850067229238,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
