corruption,source,tent,eata,sar,come,tentcome,ucdpa
brightness,70.7064,72.97133333333333,72.84133333333332,72.416,75.68213333333333,73.098,77.51946666666666
contrast,70.82639999999999,74.09666666666666,73.88773333333333,73.4248,75.12386666666666,74.17266666666667,76.3596
defocus_blur,50.885999999999996,60.32706666666666,59.891333333333336,58.10733333333334,62.97773333333334,60.46253333333333,65.70813333333334
elastic_transform,57.1864,61.824,62.09693333333334,61.14373333333333,65.82093333333333,62.01306666666667,69.8064
fog,68.42,72.19266666666667,72.20373333333333,71.54306666666666,73.97573333333334,72.27333333333333,75.28479999999999
frost,41.17960000000001,46.62146666666667,47.5996,46.900933333333334,53.42133333333334,46.89906666666666,59.81973333333334
gaussian_blur,53.26,61.23506666666667,60.687466666666666,59.0872,63.85453333333333,61.42546666666667,66.35973333333334
gaussian_noise,56.47,63.592,63.20786666666667,62.23133333333333,65.70853333333334,63.75666666666667,68.0168
glass_blur,42.6528,53.48053333333334,52.745333333333335,51.00626666666667,57.023199999999996,53.7196,62.02826666666667
impulse_noise,54.2888,62.83546666666667,62.605066666666666,61.44466666666666,64.96386666666666,63.03253333333334,67.4932
jpeg_compression,65.7576,68.5816,68.26506666666667,67.7212,71.32453333333333,68.76573333333334,73.1092
motion_blur,56.223200000000006,63.40213333333334,62.678,61.1068,65.78106666666666,63.53333333333333,68.31413333333333
pixelate,66.304,69.63293333333333,69.24013333333333,68.59519999999999,73.02546666666667,69.91813333333333,75.00813333333333
saturate,68.2972,71.27013333333333,71.00866666666667,70.53386666666667,74.37506666666667,71.46053333333333,76.032
shot_noise,53.74,62.0048,61.67946666666667,60.706133333333334,64.1012,62.23226666666667,66.91666666666667
snow,40.8156,44.431866666666664,45.8536,46.1576,51.614933333333326,44.6152,60.684533333333334
spatter,65.256,67.67586666666666,67.33586666666666,66.71,71.2116,67.83573333333334,73.35600000000001
speckle_noise,60.642,67.09599999999999,66.63013333333333,65.67586666666666,69.22600000000001,67.298,71.4212
zoom_blur,45.1032,54.36653333333334,53.558933333333336,51.67693333333333,57.17706666666666,54.72226666666667,61.51213333333333
