param,value,top1_accuracy_mean,top1_accuracy_std,ece_15bins_percent_mean,ece_15bins_percent_std,mean_ucb_score_mean,mean_ucb_score_std,mean_mutual_info_mean,mean_mutual_info_std,auroc_combined_mean,auroc_combined_std
Tc,0.05,67.6292,10.682133489416533,3.5469388100620667,1.8186069129003886,0.579096490838557,0.13291520102811058,0.7582118286685618,0.2732093891108515,0.8491483500617079,0.010118039523269206
Tc,0.1,67.72346666666667,10.640632405122934,3.6324012368744856,1.893347559036997,0.550945013572965,0.1173317324490927,0.758827646875192,0.2545089344508748,0.8495532900719703,0.009997221425898295
Tc,0.2,67.81586666666666,10.639281540369073,3.9125849672213504,2.21578444388819,0.5198731096931283,0.07911608453527605,0.7325110405656989,0.20196157720226415,0.8496158747870004,0.009973415667931414
Tc,0.3,67.80226666666667,10.691779936452294,4.133525337364772,2.5172146149462713,0.5104323643895711,0.056602522123169983,0.7106843613487703,0.17146914696905152,0.8493645851233331,0.010215733313176052
Tc,0.5,67.65773333333333,10.792800692172188,4.405677523555792,2.8943369496874105,0.5045351449294363,0.035127657048032626,0.6901851692215291,0.14532294726047496,0.8492360409826122,0.010408398898965738
Tu,0.05,67.72586666666668,10.64402175513605,3.635691585482782,1.8960217600855132,0.5521338429187903,0.11728290316022887,0.7575840028350087,0.2537715973258042,0.8495178496430936,0.009976327978153064
Tu,0.1,67.72146666666667,10.640135403721318,3.6331664289338192,1.8936104148049353,0.5509537154750134,0.11733718489643909,0.758804468140623,0.2545183440015121,0.8495658496313606,0.009993628298730824
Tu,0.2,67.77706666666667,10.645273260041401,3.535401302503919,1.7396638739388737,0.5264566956112923,0.11617982750388413,0.7817823811219603,0.2648317563723139,0.8498283293134022,0.009960227633037682
Tu,0.3,67.7964,10.647641997845609,3.4440537985928668,1.4841263681987762,0.48246745634102284,0.11158703198157052,0.8256539482368804,0.27987477533719946,0.8502669663570559,0.010201158787954955
Tu,0.5,67.8708,10.667072775602497,3.351006504241005,1.1114786475711533,0.4102934201399259,0.10109436723054673,0.9059069144058006,0.3020043518618718,0.8507345864454485,0.010481169118735824
tauc,0.3,65.45061538461538,11.255192235426735,7.285726107168227,4.382039562664102,0.888885507961228,0.050662313649734426,0.4647346505701234,0.12589542101094933,0.8441891312221291,0.011138587856263704
tauc,0.5,66.95133333333332,11.73896202112152,5.432608627849569,3.8909149521157085,0.7575923048759953,0.09464796620941882,0.5603747638683546,0.16109493717870418,0.8467168542074078,0.010691380845964733
tauc,0.7,67.10861538461539,10.919793965840666,3.7717361662376025,1.963012562362505,0.5459455455391213,0.12133138639287407,0.7666191365722415,0.2704736424056392,0.8491371802935296,0.010595886291251745
tauc,0.8,67.64483333333332,11.749043333072875,3.2638431159816292,1.067425474109801,0.38622454334308004,0.1359915354486959,0.9969383989278472,0.385924876717096,0.8502016400801052,0.011799246881447715
tauc,0.9,67.18261538461539,11.097126035889213,5.016694001656939,2.3573091833953588,0.1975199644003478,0.09122426279859536,1.30174400381633,0.4225505011120469,0.847829972533089,0.01456079065183901
tauu,0.1,67.50783333333334,11.716772948783012,3.573150649673151,2.040466410654297,0.5484994764566109,0.12948296329908487,0.7755654524245825,0.2783940435085002,0.8492636040911581,0.010797706300142174
tauu,0.2,67.12353846153846,10.923579698793683,3.77124984969281,1.9630847062793306,0.5468357912638212,0.12128870608398626,0.7655448983482764,0.27004640642182004,0.8491281595118475,0.010558674995730908
tauu,0.3,67.504,11.71072285634759,3.570966140119747,2.0266426501980526,0.547384729184919,0.12951943312382083,0.7767825283301074,0.2790365937475972,0.8492478902214726,0.01085503809628538
tauu,0.4,67.99385714285714,10.996759060021992,3.608911466879736,1.9501580779621335,0.5525897081965794,0.12111859490205268,0.7566408129225023,0.2649696780889676,0.8496175695946208,0.010388250032012668
tauu,0.5,67.74013333333333,10.646193215462159,3.5991789883993563,1.841242123819866,0.5435815671714918,0.1178861452997397,0.7664613524802792,0.25899118344580097,0.8495369500614831,0.009913905972097467
